track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
NADIE SABE,23d8v6tU6lR77pFKsApMtF,379.058,84,https://open.spotify.com/track/23d8v6tU6lR77pFKsApMtF,spotify:track:23d8v6tU6lR77pFKsApMtF,0.711,0.529,11,-5.016,0.0669,0.572,0.0,0.0799,0.582,170.305,4
MONACO,4MjDJD8cW7iVeWInc2Bdyj,267.194,97,https://open.spotify.com/track/4MjDJD8cW7iVeWInc2Bdyj,spotify:track:4MjDJD8cW7iVeWInc2Bdyj,0.621,0.787,4,-5.009,0.068,0.15,0.000402,0.58,0.13,139.056,4
FINA,3nNmRE0DxHC6ZaKkrpUumS,216.327,91,https://open.spotify.com/track/3nNmRE0DxHC6ZaKkrpUumS,spotify:track:3nNmRE0DxHC6ZaKkrpUumS,0.724,0.847,1,-5.41,0.298,0.0869,1.11e-06,0.118,0.396,94.601,4
HIBIKI,4qSEvFGCpde73gqIuq3sho,208.0,88,https://open.spotify.com/track/4qSEvFGCpde73gqIuq3sho,spotify:track:4qSEvFGCpde73gqIuq3sho,0.645,0.801,6,-5.605,0.0706,0.604,0.0,0.118,0.528,119.935,4
MR. OCTOBER,1ODFVLQszq0hCOdZtqV5wq,189.258,85,https://open.spotify.com/track/1ODFVLQszq0hCOdZtqV5wq,spotify:track:1ODFVLQszq0hCOdZtqV5wq,0.612,0.805,8,-5.682,0.172,0.188,1.96e-05,0.134,0.425,126.013,4
CYBERTRUCK,4Jc7252S1P99DjQ1lNGEOc,191.959,85,https://open.spotify.com/track/4Jc7252S1P99DjQ1lNGEOc,spotify:track:4Jc7252S1P99DjQ1lNGEOc,0.905,0.704,6,-4.948,0.338,0.371,2.09e-06,0.107,0.0991,151.823,4
VOU 787,0rDQZJtSGgsB2rdkObpdFa,123.643,82,https://open.spotify.com/track/0rDQZJtSGgsB2rdkObpdFa,spotify:track:0rDQZJtSGgsB2rdkObpdFa,0.555,0.834,5,-7.902,0.197,0.0488,0.0,0.265,0.563,125.015,4
SEDA,1YnChEM51BVZ5dRhbVFEMl,190.476,87,https://open.spotify.com/track/1YnChEM51BVZ5dRhbVFEMl,spotify:track:1YnChEM51BVZ5dRhbVFEMl,0.566,0.706,6,-6.441,0.126,0.268,1.02e-06,0.111,0.23,125.876,4
GRACIAS POR NADA,1U3A66OHQyTu4N2QTMsP86,177.45,83,https://open.spotify.com/track/1U3A66OHQyTu4N2QTMsP86,spotify:track:1U3A66OHQyTu4N2QTMsP86,0.555,0.778,6,-5.473,0.231,0.325,0.0,0.111,0.271,143.916,4
TELEFONO NUEVO,01ppKlDRCmPpusO3yNrSRY,354.784,85,https://open.spotify.com/track/01ppKlDRCmPpusO3yNrSRY,spotify:track:01ppKlDRCmPpusO3yNrSRY,0.619,0.619,2,-6.238,0.491,0.407,0.0,0.0932,0.393,125.752,4
BABY NUEVA,3NhstUmrlhaN1M6hP8zMbb,240.773,86,https://open.spotify.com/track/3NhstUmrlhaN1M6hP8zMbb,spotify:track:3NhstUmrlhaN1M6hP8zMbb,0.63,0.866,10,-4.816,0.0616,0.504,0.000505,0.328,0.359,117.924,4
MERCEDES CAROTA,3TYOH7ta0101NYssoH5GlU,202.635,84,https://open.spotify.com/track/3TYOH7ta0101NYssoH5GlU,spotify:track:3TYOH7ta0101NYssoH5GlU,0.487,0.822,1,-5.815,0.223,0.385,6.55e-05,0.115,0.193,134.046,4
LOS PITS,7ucEkWU0SVy0XFdfXESgfY,250.851,83,https://open.spotify.com/track/7ucEkWU0SVy0XFdfXESgfY,spotify:track:7ucEkWU0SVy0XFdfXESgfY,0.669,0.751,7,-5.367,0.445,0.442,2.11e-06,0.15,0.69,93.705,4
VUELVE CANDY B,3mRF0YNsDdFKFnxwg16hSz,266.171,81,https://open.spotify.com/track/3mRF0YNsDdFKFnxwg16hSz,spotify:track:3mRF0YNsDdFKFnxwg16hSz,0.691,0.785,4,-3.119,0.0904,0.223,1.74e-06,0.154,0.225,122.92,4
BATICANO,5qzLdvRViHUrRNdkpakG7C,256.0,82,https://open.spotify.com/track/5qzLdvRViHUrRNdkpakG7C,spotify:track:5qzLdvRViHUrRNdkpakG7C,0.6,0.785,3,-7.793,0.0656,0.455,6.76e-06,0.131,0.431,105.009,4
NO ME QUIERO CASAR,39L3LdlHS3gqB62HPWaJRg,225.654,84,https://open.spotify.com/track/39L3LdlHS3gqB62HPWaJRg,spotify:track:39L3LdlHS3gqB62HPWaJRg,0.698,0.914,1,-5.228,0.115,0.32,8.76e-06,0.083,0.757,99.011,4
WHERE SHE GOES,2sTDlCxmuZCTDKKk9f1qus,231.704,83,https://open.spotify.com/track/2sTDlCxmuZCTDKKk9f1qus,spotify:track:2sTDlCxmuZCTDKKk9f1qus,0.799,0.651,9,-4.02,0.0611,0.143,0.634,0.112,0.223,143.992,4
