track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
FUMETEO,0tSOh06ns9Wnfz4k4oIx2U,134.693,55,https://open.spotify.com/track/0tSOh06ns9Wnfz4k4oIx2U,spotify:track:0tSOh06ns9Wnfz4k4oIx2U,0.791,0.784,4,-4.433,0.0431,0.066,0.0,0.104,0.617,93.956,4
PURRITO APA,4s3clr8iaefWqqPxHGKZj1,151.4,61,https://open.spotify.com/track/4s3clr8iaefWqqPxHGKZj1,spotify:track:4s3clr8iaefWqqPxHGKZj1,0.658,0.626,1,-4.108,0.336,0.0462,0.0,0.0942,0.635,110.781,5
XXXX,3fW5GoO2tYjVGkr99FGzHg,117.906,53,https://open.spotify.com/track/3fW5GoO2tYjVGkr99FGzHg,spotify:track:3fW5GoO2tYjVGkr99FGzHg,0.735,0.727,10,-6.395,0.303,0.0321,0.0,0.108,0.148,81.973,4
FERXXO VI,0lejBHA2u20jkxs38F26Hd,102.4,55,https://open.spotify.com/track/0lejBHA2u20jkxs38F26Hd,spotify:track:0lejBHA2u20jkxs38F26Hd,0.281,0.369,2,-12.763,0.0652,0.899,0.00143,0.0779,0.0873,75.34,4
HULU,6GrGYZbYt9Yq8R5aiSWZ0j,121.44,51,https://open.spotify.com/track/6GrGYZbYt9Yq8R5aiSWZ0j,spotify:track:6GrGYZbYt9Yq8R5aiSWZ0j,0.755,0.81,7,-3.989,0.26,0.0326,1.94e-05,0.1,0.44,173.962,4
HECTOL,1ExmH7o7Kkj1HsnyStw7TM,160.04,53,https://open.spotify.com/track/1ExmH7o7Kkj1HsnyStw7TM,spotify:track:1ExmH7o7Kkj1HsnyStw7TM,0.531,0.791,6,-5.947,0.277,0.307,8.31e-06,0.0998,0.743,90.026,4
EL PADRINO,0zWkVCi9eFjcVAM839IkCZ,168.986,59,https://open.spotify.com/track/0zWkVCi9eFjcVAM839IkCZ,spotify:track:0zWkVCi9eFjcVAM839IkCZ,0.62,0.623,0,-6.981,0.037,0.166,3.6e-05,0.104,0.53,175.817,4
TE MATA,3eFL5cxO22TpyjK3wNb27q,113.12,65,https://open.spotify.com/track/3eFL5cxO22TpyjK3wNb27q,spotify:track:3eFL5cxO22TpyjK3wNb27q,0.531,0.582,9,-4.698,0.209,0.0209,0.000164,0.138,0.866,170.01,4
14 De Febrero,2GZmcIwvFeu3NgKu1HJL4u,158.413,58,https://open.spotify.com/track/2GZmcIwvFeu3NgKu1HJL4u,spotify:track:2GZmcIwvFeu3NgKu1HJL4u,0.569,0.564,9,-5.477,0.0481,0.805,0.0,0.0874,0.72,169.353,4
SI TÚ SUPIERAS - Bonus Track,1SCYfmGM5ueb6YiiQbLXVn,196.373,73,https://open.spotify.com/track/1SCYfmGM5ueb6YiiQbLXVn,spotify:track:1SCYfmGM5ueb6YiiQbLXVn,0.666,0.652,4,-5.383,0.171,0.379,0.0,0.11,0.554,174.732,4
enemigos,05BpaUYj7dL1vsE2oNsTzV,217.88,57,https://open.spotify.com/track/05BpaUYj7dL1vsE2oNsTzV,spotify:track:05BpaUYj7dL1vsE2oNsTzV,0.608,0.763,5,-5.828,0.0884,0.14,2.63e-06,0.0864,0.782,174.027,4
FOTOGRAFÍAS,1q8oUVzv2NPMpeQbSAiUvH,204.293,54,https://open.spotify.com/track/1q8oUVzv2NPMpeQbSAiUvH,spotify:track:1q8oUVzv2NPMpeQbSAiUvH,0.671,0.812,4,-4.858,0.148,0.0352,1.72e-06,0.102,0.697,173.952,4
JAMAICA,3mEuWQDngXevBTZLf48XDx,224.24,58,https://open.spotify.com/track/3mEuWQDngXevBTZLf48XDx,spotify:track:3mEuWQDngXevBTZLf48XDx,0.542,0.52,1,-7.404,0.155,0.0383,0.0,0.371,0.669,81.131,4
BREAK UP,4xpkpFN38ZUGTNH4majHuu,201.453,56,https://open.spotify.com/track/4xpkpFN38ZUGTNH4majHuu,spotify:track:4xpkpFN38ZUGTNH4majHuu,0.549,0.801,11,-6.485,0.132,0.0939,6.4e-05,0.0782,0.652,165.982,4
que putas,4fcC14xEEHEYS4SClHRzOr,153.746,67,https://open.spotify.com/track/4fcC14xEEHEYS4SClHRzOr,spotify:track:4fcC14xEEHEYS4SClHRzOr,0.263,0.466,5,-8.633,0.0783,0.404,0.0,0.115,0.306,78.234,1
FERXXO X ÑEJO,6qXKkWIJlEYgWOvvnaHVms,215.746,63,https://open.spotify.com/track/6qXKkWIJlEYgWOvvnaHVms,spotify:track:6qXKkWIJlEYgWOvvnaHVms,0.441,0.838,0,-6.583,0.296,0.177,0.000131,0.0832,0.645,176.005,4
XX - Remix,1E3M0dUlGW3gY9aylkFrpd,197.933,50,https://open.spotify.com/track/1E3M0dUlGW3gY9aylkFrpd,spotify:track:1E3M0dUlGW3gY9aylkFrpd,0.669,0.766,1,-5.352,0.0672,0.041,0.0,0.154,0.892,164.011,4
NEA,2S6z7NH6jUhPlq0pBQNLuV,110.933,66,https://open.spotify.com/track/2S6z7NH6jUhPlq0pBQNLuV,spotify:track:2S6z7NH6jUhPlq0pBQNLuV,0.539,0.868,5,-6.533,0.176,0.211,0.0,0.137,0.669,81.976,4
otra vez,6RmnotfWeDu72fXhpo26Bq,205.0,55,https://open.spotify.com/track/6RmnotfWeDu72fXhpo26Bq,spotify:track:6RmnotfWeDu72fXhpo26Bq,0.583,0.72,9,-7.439,0.0992,0.0199,0.0,0.124,0.216,145.903,4
PORFA - Remix,0O6y19p9Mj6hcwD5cOQaMI,333.293,48,https://open.spotify.com/track/0O6y19p9Mj6hcwD5cOQaMI,spotify:track:0O6y19p9Mj6hcwD5cOQaMI,0.746,0.79,6,-4.738,0.0811,0.0876,1.17e-06,0.0754,0.69,167.992,4
XX,7BgIcfAlmUNW6IABxVJcT2,113.72,60,https://open.spotify.com/track/7BgIcfAlmUNW6IABxVJcT2,spotify:track:7BgIcfAlmUNW6IABxVJcT2,0.654,0.76,1,-6.135,0.0627,0.0564,1.41e-06,0.118,0.806,163.939,4
ATEO,14M8dLdMYo5rTxDVvIp85o,138.68,63,https://open.spotify.com/track/14M8dLdMYo5rTxDVvIp85o,spotify:track:14M8dLdMYo5rTxDVvIp85o,0.42,0.457,4,-7.27,0.103,0.904,0.0,0.0988,0.261,87.035,4
XNTXS,24lBVR15wE6fcl7vN5pec1,147.92,55,https://open.spotify.com/track/24lBVR15wE6fcl7vN5pec1,spotify:track:24lBVR15wE6fcl7vN5pec1,0.543,0.765,7,-7.876,0.272,0.386,0.0,0.0824,0.426,100.197,4
FRESH KERIAS,6bfsLxdThst8i1LfkVmLZr,272.346,54,https://open.spotify.com/track/6bfsLxdThst8i1LfkVmLZr,spotify:track:6bfsLxdThst8i1LfkVmLZr,0.574,0.741,5,-4.446,0.296,0.278,0.000154,0.156,0.745,185.973,4
PORFA,4TOmcZvw0gHa7GiXRbcYAW,232.653,71,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW,spotify:track:4TOmcZvw0gHa7GiXRbcYAW,0.542,0.795,6,-8.106,0.193,0.0903,0.0,0.117,0.55,167.823,4
